,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
7784,nm0583093,Emile Meyer,1910-08-18,179.0,True,,,
7786,nm0817930,Douglas Spencer,1910-02-10,188.0,True,,,
7787,nm0226109,John Dierkes,1905-02-10,198.0,True,,,
7788,nm0574707,Paul McVey,1898-03-17,183.0,True,,,
7789,nm0588631,John Miller,,,True,White,Male,Straight
7792,nm0000027,Alec Guinness,1914-04-02,176.0,True,White,Male,Bisexual
7800,nm0325939,Charles Goldner,1900-12-07,,True,,,
7801,nm0539942,Miles Malleson,1888-05-25,,True,,,
7802,nm0562807,Ferdy Mayne,1916-03-11,185.0,True,,,
7803,nm0072498,George Benson,1911-01-11,,True,Black,Male,
7804,nm0024322,Joss Ambler,1900-06-23,,True,,,
7805,nm0050163,Michael Balfour,1918-02-11,,True,,,
7806,nm0010468,Robert Adair,1900-01-03,185.0,True,,,
7807,nm0001982,Sebastian Cabot,1918-07-06,173.0,True,White,Male,
7808,nm0292077,Bill Fraser,1908-06-05,,True,White,Male,Straight
7810,nm0108298,Richard Brewster,,,True,,,
7811,nm0193705,Winifred Cushing,"1906 in Colfax, Iowa, USA",,True,,,
7812,nm0930864,Jay Williams,1914-05-31,,True,,,
7814,nm0498447,Will Lee,1908-08-06,,True,,,
7815,nm0801786,Donald Sinden,1923-10-09,180.0,True,White,Male,Straight
7816,nm0833652,John Stratton,1925-11-07,,True,,,
7818,nm0048939,Stanley Baker,1928-02-28,178.0,True,White,Male,Straight
7820,nm0786074,Bruce Seton,1909-05-29,,True,,,
7821,nm0715068,Liam Redmond,1913-07-27,,True,White,Male,Straight
7822,nm0571441,Virginia McKenna,1931-06-07,,True,White,Female,Straight
7823,nm0514263,Moira Lister,1923-08-06,164.0,True,White,Female,Straight
7824,nm0861185,June Thorburn,1931-06-08,,True,White,Female,Straight
7825,nm0250215,Meredith Edwards,1917-06-10,,True,White,Male,Straight
7827,nm0001998,Cyd Charisse,1922-03-08,171.0,True,White,Female,Straight
7829,nm0264660,Nanette Fabray,1920-10-27,173.0,True,,,
7830,nm0118014,Jack Buchanan,1891-04-02,183.0,True,White,Male,
7831,nm0593411,James Mitchell,1920-02-29,178.0,True,White,Male,Gay
7843,nm0628579,Robert Newton,1905-06-01,183.0,True,White,Male,Straight
7845,nm0001888,Robert Douglas,1909-11-09,178.0,True,White,Male,Straight
7847,nm0857147,Torin Thatcher,1905-01-15,185.0,True,White,Male,
7849,nm0706256,Chips Rafferty,1909-03-26,196.0,True,White,Male,Straight
7852,nm0863968,Charles 'Bud' Tingwell,1923-01-03,177.0,True,,,
7853,nm0204334,Charles Davis,,,True,,,
7854,nm0001463,Janet Leigh,1927-07-06,166.0,True,White,Female,Straight
7855,nm0752813,Robert Ryan,1909-11-11,193.0,True,White,Male,Straight
7871,nm0290295,Robert Francis,1930-02-26,,True,White,Male,
7873,nm0943986,May Wynn,1928-01-08,168.0,True,White,Female,Straight
7874,nm0015391,Claude Akins,1926-05-25,185.0,True,White,Male,Straight
7877,nm0661577,Jerry Paris,1925-07-25,187.0,True,White,Male,Straight
7879,nm0110917,Steve Brodie,1919-11-25,178.0,True,White,Male,Straight
7880,nm0922599,James Westerfield,1913-03-22,185.0,True,White,Male,Straight
7882,nm0448836,Robert Kent,1908-12-03,183.0,True,White,Male,Straight
7883,nm0634749,Tommy Noonan,1921-04-29,180.0,True,White,Male,
7884,nm0549237,Lucy Marlow,1932-11-20,,True,,,
7885,nm0263393,Judith Evelyn,1909-03-20,,True,,,
7887,nm0046564,Ross Bagdasarian,1919-01-27,,True,White,Male,Straight
7888,nm0935597,Irene Winston,1916-07-18,,True,,,
7889,nm0639385,Hugh O'Brian,1925-04-19,183.0,True,White,Male,Straight
7891,nm0291829,Eduard Franz,1902-10-31,,True,White,Male,
7892,nm0391096,Earl Holliman,1928-09-11,183.0,True,White,Male,
7894,nm0123699,Robert Burton,1895-08-13,,True,White,Male,
7895,nm0084909,Anita Björk,1923-04-25,,True,,,
7896,nm0303601,Rita Gam,1927-04-02,,True,White,Female,Straight
7898,nm0795289,Max Showalter,1917-06-02,184.0,True,White,Male,
7899,nm0886870,Peter van Eyck,1911-07-16,,True,,,
7900,nm0462367,Marianne Koch,1931-08-19,,True,White,Female,Straight
7901,nm0567521,Hugh McDermott,1906-03-20,,True,White,Male,Straight
7902,nm0139428,Paul Carpenter,1921-12-08,,True,,,
7903,nm0395443,John Horsley,1920-07-21,,True,,,
7904,nm0310989,Mitzi Gaynor,1931-09-04,168.0,True,,,
7905,nm0588322,Eve Miller,1923-08-08,,True,White,Female,Straight
7906,nm0713358,Robin Raymond,1916-10-04,,True,,,
7907,nm0444476,Howard Keel,1919-04-13,190.0,True,White,Male,Straight
7908,nm0724143,Jeff Richards,1924-11-01,188.0,True,,,
7909,nm0707720,Tommy Rall,1929-12-27,,True,,,
7911,nm0686885,Marc Platt,1913-12-02,,True,,,
7913,nm0007225,Jane Powell,1929-04-01,155.0,True,White,Female,Straight
7914,nm0628325,Julie Newmar,1933-08-16,180.0,True,White,Female,Straight
7915,nm0453025,Nancy Kilgas,1930-11-07,,True,,,
7916,nm0317208,Virginia Gibson,1925-04-09,163.0,True,White,Female,
7918,nm0498181,Ruta Lee,1935-05-30,155.0,True,White,Female,Straight
7920,nm0181305,Valentina Cortese,1923-01-01,161.0,True,White,Female,Straight
7921,nm0106387,Rossano Brazzi,1916-09-18,183.0,True,White,Male,Straight
7922,nm0783288,Elizabeth Sellars,1921-05-06,,True,,,
7923,nm0017628,Mari Aldon,1925-11-17,,True,,,
7924,nm0176328,Alberto Rabagliati,1906-06-26,,True,,,
7925,nm0821543,Enzo Staiola,1939-11-15,,True,,,
7926,nm0516883,Kathleen Lockhart,1894-08-09,,True,,,
7927,nm0472758,Gene Krupa,1909-01-15,173.0,True,White,Male,
7928,nm0001414,Danny Kaye,1911-01-18,180.0,True,White,Male,Bisexual
7929,nm0955195,Mai Zetterling,1925-05-24,160.0,True,White,Female,Straight
